Month,Amazon,D2COnline,Other,Retailercom,TraditionalRetail
10/1/2020,24.9,17.6,9.8,13.1,78.8
11/1/2020,25.1,19.9,10.2,17.9,78.8
12/1/2020,25.3,19.5,10.5,16,78.8
1/1/2021,25,17.5,9.7,12.4,94.6
2/1/2021,24.5,17.6,9.8,12.3,94.6
3/1/2021,23.9,17.6,9.7,12.3,94.6
4/1/2021,24.2,18.3,9.2,11.8,90.8
5/1/2021,24,18.3,9.3,11.8,90.8
6/1/2021,24.4,18.3,9.6,11.5,90.8
7/1/2021,22.3,17.8,9.7,12,85.5
8/1/2021,23.7,19.5,9.3,11.8,85.5
9/1/2021,24.1,18,9.2,13.4,85.5
10/1/2021,24.4,19.3,9.6,16.2,81.1
11/1/2021,27,19.8,10.4,25.2,81.1
12/1/2021,26,20.1,10.3,23.4,81.1
1/1/2022,24.9,18.3,9.6,16.1,99.1
2/1/2022,25.2,18.6,9.5,15.8,99.1
3/1/2022,25.4,19.2,9.4,15.6,99.1
4/1/2022,26.2,19.9,10,15.7,105.6
5/1/2022,26.7,19.6,9.9,15.4,105.6
6/1/2022,26.7,19,10.4,15.3,105.6
7/1/2022,30.4,19.1,10.8,16,105.6
8/1/2022,26.9,19.8,9.7,15.4,105.6
9/1/2022,27,20.2,10.3,15.5,105.6
